Taxon,Strain,Accession ID,Originating Laboratory,Submitting Laboratory,Authors
Singapore/4/2020|2020-02-03,Singapore/4/2020,EPI_ISL_410535,National Centre for Infectious Diseases,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School",Danielle E Anderson et al
Singapore/42/2020|2020-03-31,Singapore/42/2020,EPI_ISL_422435,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases",Mak TM et al
Singapore/6/2020|2020-02-09,Singapore/6/2020,EPI_ISL_410537,"Singapore General Hospital, Molecular Laboratory, Division of Pathology","Programme in Emerging Infectious Diseases, Duke-NUS Medical School",Danielle E Anderson et al
Slovakia/SK-BMC1/2020|2020-03-06,Slovakia/SK-BMC1/2020,EPI_ISL_417877,"Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Public Health Authority of the Slovak Republic, Bratislava","Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Comenius University Science Park, Bratislava",Monika Slávikova et al
Slovakia/SK-BMC2/2020|2020-03-07,Slovakia/SK-BMC2/2020,EPI_ISL_417878,"Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Public Health Authority of the Slovak Republic, Bratislava","Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Comenius University Science Park, Bratislava",Monika Slávikova et al
Slovakia/SK-BMC6/2020|2020-03-08,Slovakia/SK-BMC6/2020,EPI_ISL_417880,"Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Public Health Authority of the Slovak Republic, Bratislava","Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Comenius University Science Park, Bratislava",Monika Slávikova et al
Slovenia/12304/2020|2020-03-24,Slovenia/12304/2020,EPI_ISL_420295,"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana",Samo Zakotnik et al
Slovenia/808/2020|2020-03-05,Slovenia/808/2020,EPI_ISL_420541,"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana",Tomaž Mark Zorec et al
Slovenia/MB0419/2020|2020-04-19,Slovenia/MB0419/2020,EPI_ISL_449799,"National Laboratory for Health, Environment and Food","National Laboratory for Health, Environment and Food",Mahnic A. et al
South_Africa/KRISP-0055/2020|2020-03-24,South_Africa/KRISP-0055/2020,EPI_ISL_467444,Molecular Diagnostics Services (MDS),"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0057/2020|2020-03-29,South_Africa/KRISP-0057/2020,EPI_ISL_467446,Molecular Diagnostics Services (MDS),"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0113/2020|2020-04-05,South_Africa/KRISP-0113/2020,EPI_ISL_467467,AMPATH-DBN,"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0119/2020|2020-04-01,South_Africa/KRISP-0119/2020,EPI_ISL_467471,AMPATH-DBN,"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0125/2020|2020-05-13,South_Africa/KRISP-0125/2020,EPI_ISL_467477,Molecular Diagnostics Services (MDS),"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0127/2020|2020-05-13,South_Africa/KRISP-0127/2020,EPI_ISL_467479,Molecular Diagnostics Services (MDS),"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0129/2020|2020-05-13,South_Africa/KRISP-0129/2020,EPI_ISL_467481,Molecular Diagnostics Services (MDS),"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0133/2020|2020-05-13,South_Africa/KRISP-0133/2020,EPI_ISL_467485,Molecular Diagnostics Services (MDS),"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0139/2020|2020-05-16,South_Africa/KRISP-0139/2020,EPI_ISL_467491,Molecular Diagnostics Services (MDS),"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0143/2020|2020-05-21,South_Africa/KRISP-0143/2020,EPI_ISL_467493,NHLS-IALCH,"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0145/2020|2020-05-30,South_Africa/KRISP-0145/2020,EPI_ISL_467495,Molecular Diagnostics Services (MDS),"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0146/2020|2020-05-30,South_Africa/KRISP-0146/2020,EPI_ISL_467496,Molecular Diagnostics Services (MDS),"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0147/2020|2020-05-30,South_Africa/KRISP-0147/2020,EPI_ISL_467497,Molecular Diagnostics Services (MDS),"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0157/2020|2020-05-25,South_Africa/KRISP-0157/2020,EPI_ISL_467507,NHLS-IALCH,"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0158/2020|2020-05-28,South_Africa/KRISP-0158/2020,EPI_ISL_467508,NHLS-IALCH,"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0160/2020|2020-06-01,South_Africa/KRISP-0160/2020,EPI_ISL_467510,NHLS-IALCH,"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0162/2020|2020-06-01,South_Africa/KRISP-0162/2020,EPI_ISL_467512,NHLS-IALCH,"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0165/2020|2020-05-29,South_Africa/KRISP-0165/2020,EPI_ISL_467515,NHLS-IALCH,"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0167/2020|2020-06-02,South_Africa/KRISP-0167/2020,EPI_ISL_467517,NHLS-IALCH,"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0170/2020|2020-05-31,South_Africa/KRISP-0170/2020,EPI_ISL_467520,NHLS-IALCH,"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0171/2020|2020-06-02,South_Africa/KRISP-0171/2020,EPI_ISL_467521,NHLS-IALCH,"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Africa/KRISP-0173/2020|2020-06-02,South_Africa/KRISP-0173/2020,EPI_ISL_467523,NHLS-IALCH,"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
South_Korea/KCDC03/2020|2020-01-25,South_Korea/KCDC03/2020,EPI_ISL_407193,Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases,Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases,Jeong-Min Kim et al
South_Korea/KCDC06/2020|2020-01-30,South_Korea/KCDC06/2020,EPI_ISL_412870,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al
South_Korea/KCDC07/2020|2020-01-31,South_Korea/KCDC07/2020,EPI_ISL_412871,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al
South_Korea/KCDC24/2020|2020-02-06,South_Korea/KCDC24/2020,EPI_ISL_412873,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al
South_Korea/KUMC04/2020|2020-02-27,South_Korea/KUMC04/2020,EPI_ISL_413514,"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University","Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University",Changmin Kang et al
SouthAfrica/KRISP-107/2020|2020-05-04,SouthAfrica/KRISP-107/2020,EPI_ISL_455637,"KRISP, KZN Research Innovation and Sequencing Platform","KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
SouthAfrica/KRISP-108/2020|2020-05-04,SouthAfrica/KRISP-108/2020,EPI_ISL_455638,"KRISP, KZN Research Innovation and Sequencing Platform","KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al
SouthAfrica/Tygerberg_37/2020|2020-04-08,SouthAfrica/Tygerberg_37/2020,EPI_ISL_464148,"National Health Laboratory Service (NHLS), Tygerberg","Division of Medical Virology, Stellenbosch University and National Health Laboratory Service (NHLS)",Susan Engelbrecht et al
SouthAfrica/Tygerberg_42/2020|2020-04-08,SouthAfrica/Tygerberg_42/2020,EPI_ISL_464151,"National Health Laboratory Service (NHLS), Tygerberg","Division of Medical Virology, Stellenbosch University and National Health Laboratory Service (NHLS)",Susan Engelbrecht et al
Spain/67_20/2020|2020-05-30,Spain/67_20/2020,EPI_ISL_462995,Molecular Genetics,Molecular Genetics,Gomez et al
Spain/ACoruna_001/2020|2020-05-11,Spain/ACoruna_001/2020,EPI_ISL_468331,"Microbiology Service, University Hospital of A Coruna-Biomedical Research Institute","Genomes & Disease, Center for Research in Molecular Medicine and Chronic Diseases, University of Santiago de Compostela",Kelly Conde et al
Spain/ACoruna_002/2020|2020-05-11,Spain/ACoruna_002/2020,EPI_ISL_468332,"Microbiology Service, University Hospital of A Coruna-Biomedical Research Institute","Genomes & Disease, Center for Research in Molecular Medicine and Chronic Diseases, University of Santiago de Compostela",Kelly Conde et al
Spain/ACoruna_003/2020|2020-04-29,Spain/ACoruna_003/2020,EPI_ISL_468333,"Microbiology Service, University Hospital of A Coruna-Biomedical Research Institute","Genomes & Disease, Center for Research in Molecular Medicine and Chronic Diseases, University of Santiago de Compostela",Kelly Conde et al
Spain/ACoruna_005/2020|2020-04-29,Spain/ACoruna_005/2020,EPI_ISL_468335,"Microbiology Service, University Hospital of A Coruna-Biomedical Research Institute","Genomes & Disease, Center for Research in Molecular Medicine and Chronic Diseases, University of Santiago de Compostela",Kelly Conde et al
Spain/ACoruna_012/2020|2020-05-12,Spain/ACoruna_012/2020,EPI_ISL_468342,"Microbiology Service, University Hospital of A Coruna-Biomedical Research Institute","Genomes & Disease, Center for Research in Molecular Medicine and Chronic Diseases, University of Santiago de Compostela",Kelly Conde et al
Spain/Albacete-COV003816/2020|2020-05-25,Spain/Albacete-COV003816/2020,EPI_ISL_474820,Complejo Hospitalario Universitario de Albacete,SeqCOVID-SPAIN consortium/IBV(CSIC),Encarnacion Simarro Córdoba et al
Spain/Albacete-COV003879/2020|2020-05-20,Spain/Albacete-COV003879/2020,EPI_ISL_474824,Complejo Hospitalario Universitario de Albacete,SeqCOVID-SPAIN consortium/IBV(CSIC),Encarnacion Simarro Córdoba et al
Spain/Albacete-COV003883/2020|2020-05-18,Spain/Albacete-COV003883/2020,EPI_ISL_474826,Complejo Hospitalario Universitario de Albacete,SeqCOVID-SPAIN consortium/IBV(CSIC),Encarnacion Simarro Córdoba et al
Spain/COV000665/2020|2020-03-06,Spain/COV000665/2020,EPI_ISL_452785,"Hospital Universitario Araba. Vitoria-Gasteiz,",SeqCOVID-SPAIN consortium/IBV(CSIC),Silvia Hernáez Crespo et al
Spain/COV001605/2020|2020-03-12,Spain/COV001605/2020,EPI_ISL_467164,Hospital Universitario Araba. Vitoria-Gasteiz,SeqCOVID-SPAIN consortium/IBV(CSIC),Silvia Hernáez Crespo et al
Spain/COV003708/2020|2020-04-02,Spain/COV003708/2020,EPI_ISL_467199,Hospital General Universitario Gregorio Marañón,SeqCOVID-SPAIN consortium/IBV(CSIC),Laura Pérez-Lago et al
Spain/COV003722/2020|2020-05-07,Spain/COV003722/2020,EPI_ISL_467190,Hospital General Universitario Gregorio Marañón,SeqCOVID-SPAIN consortium/IBV(CSIC),Laura Pérez-Lago et al
Spain/COV003723/2020|2020-05-07,Spain/COV003723/2020,EPI_ISL_467234,Hospital General Universitario Gregorio Marañón,SeqCOVID-SPAIN consortium/IBV(CSIC),Laura Pérez-Lago et al
Spain/Donostia-San_Sebastian2098/2020|2020-04-11,Spain/Donostia-San_Sebastian2098/2020,EPI_ISL_468902,"Servicio de Microbiología. Hospital Universitario Donostia. OSI Donostialdea. Área de Enfermedades Infecciosas, Grupo de Infección Respiratoria y Resistencia Antimicrobiana. Instituto de Investigación Sanitaria Biodonostia.",SeqCOVID-SPAIN consortium/IBV(CSIC),Gustavo Cilla et al
Spain/Donostia-San_Sebastian2110/2020|2020-04-11,Spain/Donostia-San_Sebastian2110/2020,EPI_ISL_468874,"Servicio de Microbiología. Hospital Universitario Donostia. OSI Donostialdea. Área de Enfermedades Infecciosas, Grupo de Infección Respiratoria y Resistencia Antimicrobiana. Instituto de Investigación Sanitaria Biodonostia.",SeqCOVID-SPAIN consortium/IBV(CSIC),Gustavo Cilla et al
Sri_Lanka/COV53/2020|2020-03-10,Sri_Lanka/COV53/2020,EPI_ISL_428671,Centre for Dengue Research,Centre for Dengue Research,Chandima Jeewandara et al
Sri_Lanka/COV91/2020|2020-03-19,Sri_Lanka/COV91/2020,EPI_ISL_428672,Centre for Dengue Research,Centre for Dengue Research,Chandima Jeewandara et al
Sweden/01/2020|2020-02-07,Sweden/01/2020,EPI_ISL_411951,"Unit for Laboratory Development and Technology Transfer, Public Health Agency of Sweden","Unit for Laboratory Development and Technology Transfer, Public Health Agency of Sweden",Bengner et al
Sweden/20-04631/2020|2020-02-27,Sweden/20-04631/2020,EPI_ISL_430847,HS mikrobiologi virus,The Public Health Agency of Sweden,Zhibing Yun et al
Sweden/20-07772/2020|2020-04-22,Sweden/20-07772/2020,EPI_ISL_445242,Jokkmokks Halsocentral,The Public Health Agency of Sweden,Markus Beland et al
Sweden/20-14696/2020|2020-05-15,Sweden/20-14696/2020,EPI_ISL_469060,Narhalsan Sjobo vardcentral,The Public Health Agency of Sweden,Oskar Karlsson Lindsjo et al
Sweden/20-14827/2020|2020-05-19,Sweden/20-14827/2020,EPI_ISL_469063,Ulltuna Vardcentral,The Public Health Agency of Sweden,Oskar Karlsson Lindsjo et al
Sweden/20-19008/2020|2020-05-27,Sweden/20-19008/2020,EPI_ISL_469064,Huddinge VC,The Public Health Agency of Sweden,Oskar Karlsson Lindsjo et al
Sweden/20-19192/2020|2020-05-28,Sweden/20-19192/2020,EPI_ISL_469065,Huddinge VC,The Public Health Agency of Sweden,Oskar Karlsson Lindsjo et al
Sweden/20-51167/2020|2020-05-04,Sweden/20-51167/2020,EPI_ISL_450832,Byjorden vardcentral,The Public Health Agency of Sweden,Pernilla Brunman et al
Sweden/20-51311/2020|2020-05-07,Sweden/20-51311/2020,EPI_ISL_450833,Wetterhalsan,The Public Health Agency of Sweden,Anders Tengblad et al
Sweden/20-51350/2020|2020-05-11,Sweden/20-51350/2020,EPI_ISL_469066,Surbrunns VC,The Public Health Agency of Sweden,Oskar Karlsson Lindsjo et al
Sweden/20-51387/2020|2020-05-12,Sweden/20-51387/2020,EPI_ISL_455107,Narhalsan Mellerud,The Public Health Agency of Sweden,Maria Nykvist et al
Sweden/20-51391/2020|2020-05-13,Sweden/20-51391/2020,EPI_ISL_455108,Smedby HC,The Public Health Agency of Sweden,Susanne Brunby et al
Sweden/20-51445/2020|2020-05-14,Sweden/20-51445/2020,EPI_ISL_455110,"Scania Halsocenter, B288",The Public Health Agency of Sweden,Christina Lergin et al
Sweden/20-51474/2020|2020-05-14,Sweden/20-51474/2020,EPI_ISL_455111,Olof Norrby,The Public Health Agency of Sweden,Bla Kustens halsocentral et al
Sweden/20-51598/2020|2020-05-19,Sweden/20-51598/2020,EPI_ISL_469067,Kungsholmsdoktorn,The Public Health Agency of Sweden,Oskar Karlsson Lindsjo et al
Sweden/20-51618/2020|2020-05-20,Sweden/20-51618/2020,EPI_ISL_469068,Hovas Askim Familjelakare och BVC,The Public Health Agency of Sweden,Oskar Karlsson Lindsjo et al
Sweden/20-51678/2020|2020-05-25,Sweden/20-51678/2020,EPI_ISL_469069,Narhalsan Olskroken VC,The Public Health Agency of Sweden,Oskar Karlsson Lindsjo et al
Sweden/20-51758/2020|2020-05-27,Sweden/20-51758/2020,EPI_ISL_469071,Wasterlakarna,The Public Health Agency of Sweden,Oskar Karlsson Lindsjo et al
Sweden/20-51891/2020|2020-06-03,Sweden/20-51891/2020,EPI_ISL_469072,Ulltuna Vardcentral,The Public Health Agency of Sweden,Oskar Karlsson Lindsjo et al
Switzerland/100051/2020|2020-03-11,Switzerland/100051/2020,EPI_ISL_466973,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Switzerland/100070/2020|2020-03-12,Switzerland/100070/2020,EPI_ISL_466992,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Switzerland/100080/2020|2020-03-13,Switzerland/100080/2020,EPI_ISL_451672,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Switzerland/100153/2020|2020-03-16,Switzerland/100153/2020,EPI_ISL_451737,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Switzerland/100830/2020|2020-03-26,Switzerland/100830/2020,EPI_ISL_451778,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Switzerland/110464/2020|2020-04-07,Switzerland/110464/2020,EPI_ISL_451882,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Switzerland/120036/2020|2020-04-20,Switzerland/120036/2020,EPI_ISL_468226,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Switzerland/120045/2020|2020-04-20,Switzerland/120045/2020,EPI_ISL_468233,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Switzerland/120070/2020|2020-04-20,Switzerland/120070/2020,EPI_ISL_468241,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Switzerland/120230/2020|2020-05-01,Switzerland/120230/2020,EPI_ISL_468291,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Switzerland/130013/2020|2020-05-07,Switzerland/130013/2020,EPI_ISL_467007,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Switzerland/130015/2020|2020-05-07,Switzerland/130015/2020,EPI_ISL_467009,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Switzerland/130020/2020|2020-05-08,Switzerland/130020/2020,EPI_ISL_467012,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Switzerland/130021/2020|2020-05-11,Switzerland/130021/2020,EPI_ISL_467013,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Switzerland/130026/2020|2020-05-12,Switzerland/130026/2020,EPI_ISL_467014,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Switzerland/130028/2020|2020-05-13,Switzerland/130028/2020,EPI_ISL_467015,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Switzerland/130032/2020|2020-05-13,Switzerland/130032/2020,EPI_ISL_467016,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
Taiwan/2/2020|2020-01-23,Taiwan/2/2020,EPI_ISL_406031,"Centers for Disease Control, R.O.C. (Taiwan)","Centers for Disease Control, R.O.C. (Taiwan)",Ji-Rong Yang et al
Taiwan/5/2020|2020-01-31,Taiwan/5/2020,EPI_ISL_428489,"Centers for Disease Control, R.O.C. (Taiwan)","Centers for Disease Control, R.O.C. (Taiwan)",Ji-Rong Yang et al
Taiwan/78/2020|2020-03-16,Taiwan/78/2020,EPI_ISL_428490,"Centers for Disease Control, R.O.C. (Taiwan)","Centers for Disease Control, R.O.C. (Taiwan)",Ji-Rong Yang et al
Taiwan/8/2020|2020-01-31,Taiwan/8/2020,EPI_ISL_428488,"Centers for Disease Control, R.O.C. (Taiwan)","Centers for Disease Control, R.O.C. (Taiwan)",Ji-Rong Yang et al
Taiwan/CGMH-CGU-03/2020|2020-02-26,Taiwan/CGMH-CGU-03/2020,EPI_ISL_415741,Laboratory Medicine,"Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan",Kuo-Chien Tsao et al
Taiwan/CGMH-CGU-11/2020|2020-03-14,Taiwan/CGMH-CGU-11/2020,EPI_ISL_417524,Laboratory Medicine,"Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan",Kuo-Chien Tsao et al
Taiwan/CGMH-CGU-27/2020|2020-04-19,Taiwan/CGMH-CGU-27/2020,EPI_ISL_452179,Laboratory Medicine,"Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan",Kuo-Chien Tsao et al
Taiwan/CGMH-CGU-30/2020|2020-04-11,Taiwan/CGMH-CGU-30/2020,EPI_ISL_464094,Laboratory Medicine,"Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan",Kuo-Chien Tsao et al
Taiwan/NTU02/2020|2020-02-05,Taiwan/NTU02/2020,EPI_ISL_410218,"Department of Laboratory Medicine, National Taiwan University Hospital","Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine",Shiou-Hwei Yeh et al
Taiwan/NTU04/2020|2020-03-04,Taiwan/NTU04/2020,EPI_ISL_422407,"Department of Laboratory Medicine, National Taiwan University Hospital","Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine",Shiou-Hwei Yeh et al
Taiwan/TSGH-01/2020|2020-02-07,Taiwan/TSGH-01/2020,EPI_ISL_426629,TSGH-CP molecular lab,TSGH-CP molecular lab,Cherng-Lih Perng et al
Taiwan/TSGH-16/2020|2020-03-19,Taiwan/TSGH-16/2020,EPI_ISL_436101,TSGH-CP molecular lab,TSGH-CP molecular lab,Cherng-Lih Perng et al
Taiwan/TSGH-35/2020|2020-02-06,Taiwan/TSGH-35/2020,EPI_ISL_457726,TSGH-CP molecular lab,TSGH-CP molecular lab,Cherng-Lih Perng et al
Taiwan/TSGH-37/2020|2020-02-08,Taiwan/TSGH-37/2020,EPI_ISL_457733,TSGH-CP molecular lab,TSGH-CP molecular lab,Cherng-Lih Perng et al
Thailand/61/2020|2020-01-08,Thailand/61/2020,EPI_ISL_403962,Bamrasnaradura Hospital,"1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand",Pilailuk et al
Thailand/74/2020|2020-01-13,Thailand/74/2020,EPI_ISL_403963,Bamrasnaradura Hospital,"1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand",Pilailuk et al
Thailand/Bangkok_168/2020|2020-01-23,Thailand/Bangkok_168/2020,EPI_ISL_450196,bumrungrad international hospital,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al
Thailand/Bangkok_1716/2020|2020-02-25,Thailand/Bangkok_1716/2020,EPI_ISL_447920,n/a,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al
Thailand/Bangkok_237/2020|2020-01-25,Thailand/Bangkok_237/2020,EPI_ISL_447912,n/a,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al
Thailand/Bangkok_238/2020|2020-01-31,Thailand/Bangkok_238/2020,EPI_ISL_447913,n/a,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al
Thailand/Bangkok_269/2020|2020-01-26,Thailand/Bangkok_269/2020,EPI_ISL_447915,n/a,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al
Thailand/Bangkok_2972/2020|2020-03-17,Thailand/Bangkok_2972/2020,EPI_ISL_455586,Siriraj hospital,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al
Thailand/Bangkok-0066/2020|2020-03-29,Thailand/Bangkok-0066/2020,EPI_ISL_447008,Ramathibodi Hospital,COVID-19 Network Investigations (CONI) Alliance,Elizabeth Batty et al
Thailand/Bangkok-0084/2020|2020-04-02,Thailand/Bangkok-0084/2020,EPI_ISL_447025,Ramathibodi Hospital,COVID-19 Network Investigations (CONI) Alliance,Elizabeth Batty et al
Thailand/Bangkok-CONI-0110/2020|2020-03-12,Thailand/Bangkok-CONI-0110/2020,EPI_ISL_455913,Ramathibodi Hospital,COVID-19 Network Investigations (CONI) Alliance,Elizabeth Batty et al
Thailand/NIH-15/2020|2020-01-05,Thailand/NIH-15/2020,EPI_ISL_434692,Bamrasnaradura hospital,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al
Thailand/NIH-162/2020|2020-01-22,Thailand/NIH-162/2020,EPI_ISL_434694,Bamrasnaradura hospital,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al
Thailand/NIH-59/2020|2020-01-16,Thailand/NIH-59/2020,EPI_ISL_434693,Bamrasnaradura hospital,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al
Thailand/Nonthaburi_193/2020|2020-01-24,Thailand/Nonthaburi_193/2020,EPI_ISL_447911,n/a,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al
Thailand/Nonthaburi_59/2020|2020-01-13,Thailand/Nonthaburi_59/2020,EPI_ISL_447909,n/a,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al
Thailand/Nonthaburi_68/2020|2020-01-15,Thailand/Nonthaburi_68/2020,EPI_ISL_447910,n/a,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al
Thailand/Phuket_247/2020|2020-01-25,Thailand/Phuket_247/2020,EPI_ISL_447914,n/a,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al
Thailand/SI200040-NT/2020|2020-01-08,Thailand/SI200040-NT/2020,EPI_ISL_437623,unknown,Faculty of Medicine,Rodpan et al
Thailand/SI200383-NT/2020|2020-01-23,Thailand/SI200383-NT/2020,EPI_ISL_437622,unknown,Faculty of Medicine,Rodpan et al
Thailand/SI200468-NT/2020|2020-01-25,Thailand/SI200468-NT/2020,EPI_ISL_437620,unknown,Faculty of Medicine,Rodpan et al
Thailand/SI202205-NT/2020|2020-02-07,Thailand/SI202205-NT/2020,EPI_ISL_437616,unknown,Faculty of Medicine,Rodpan et al
Thailand/SI202620-NT/2020|2020-02-22,Thailand/SI202620-NT/2020,EPI_ISL_437615,unknown,Faculty of Medicine,Rodpan et al
Thailand/SI202872-NT/2020|2020-02-25,Thailand/SI202872-NT/2020,EPI_ISL_437613,unknown,Faculty of Medicine,Rodpan et al
Thailand/SI203285-NT/2020|2020-01-23,Thailand/SI203285-NT/2020,EPI_ISL_437612,unknown,Faculty of Medicine,Rodpan et al
Tunisia/COV1663/2020|2020-04-01,Tunisia/COV1663/2020,EPI_ISL_463004,unknown,Clinical virology,Fares et al
Tunisia/MHT_1/2020|2020-03-21,Tunisia/MHT_1/2020,EPI_ISL_458285,unknown,Bundeswehr Institute of Microbiology,Handrick et al
